color_name,manufacturer,primary_con_mix,mixture,warm_cool,bright_neutral,num_pigments,pig_1,pig_2,pig_3,pig_4,color_location,transparency,staining,granulation,lightfastness,image_number,image_location
Hansa Yellow Light,Daniel Smith,primary,0,cool,bright,1,py97,0,0,0,yellow,semi-transparent,staining,Non Granulating,Excellent,1,http://danielsmith.com/hansa-yellow-medium-15ml-tube-daniel-smith-extra-fine-watercolor/
Quinacridone Gold,Daniel Smith,primary,0,warm,earth,2,po48,py150,0,0,yellow_orange,transparent,low staining,Granulating,Excellent,2,http://danielsmith.com/quinacridone-gold-15ml-tube-daniel-smith-extra-fine-watercolor/
Cadmium Orange Hie,Daniel Smith,con,50_50_Hansa_Pyrrol_Scarlett,warm,bright,3,py53,po73,py83,0,orange,semi-opaque,Low Staining,Non Granulating,Excellent,3,http://danielsmith.com/cadmium-orange-hue-15ml-tube-daniel-smith-extra-fine-watercolor/
50_50_hansa_scarlett,Daniel Smith,mix,0,warm,bright,2,py97,pr255,0,0,orange,nan,staining,non Granulating,Excellent,4,nan
Pyrrol Scarlet,Daniel Smith,primary,0,warm,bright,1,pr255,0,0,0,red,semi-transparent,medium staining,non Granulating,Excellent,5,http://danielsmith.com/pyrrol-scarlet-15ml-tube-daniel-smith-extra-fine-watercolor/
75_pyrrol_75_hansa,Daniel Smith,mix,0,warm,bright,3,py53,po73,py83,0,red_orange,nan,staining,non Granulating,excellent,6,nan
pyrrol orange,daniel Smith,con,75_25_Pyrrol_Scarlet_Hansa_Yellow_Medium,warm,bright,1,po73,0,0,0,red_orange,semi-transparent,medium staining,non Granulating,Excellent,7,http://danielsmith.com/pyrrol-orange-15ml-tube-daniel-smith-extra-fine-watercolor/
pyrrol crimson,daniel Smith,primary,0,cool,bright,1,pr264,0,0,0,cool_red,semi-transparent,medium staining,non Granulating,excellent,8,http://danielsmith.com/pyrrol-crimson-15ml-tube-daniel-smith-extra-fine-watercolor/
Quinacridone Rose,Daniel Smith,primary,0,warm,bright,1,pv19,0,0,0,warm pink,transparent,medium staining,non Granulating,excellent,9,http://danielsmith.com/quinacridone-rose-15ml-tube-daniel-smith-extra-fine-watercolor/
Mayan Violet,Daniel Smith,con,75_Crimson_25_Ultramarine_Blue,cool,bright,1,pv58,0,0,0,cool_pink,transparent,low staining,granulating,Very Good,10,http://danielsmith.com/mayan-violet-15ml-tube-daniel-smith-extra-fine-watercolor/
75_Crimson_25_Ultramarine_Blue,Daniel Smith,mix,0,cool,bright,nan,pr274,nan,nan,0,cool_pink,nan,nan,nan,nan,11,nan
Imperial Purple,daniel Smith,con,50_ultrablue_50_quin_rose,cool,bright,2,pv19,pb29,0,0,purple,semi-transparent,low staining,granulating,excellent,12,http://danielsmith.com/imperial-purple-15ml-tube-daniel-smith-extra-fine-watercolor/
